id,area_sqft,bedrooms,bathrooms,parking,floor,property_type,location,city_tier,age_years,price_inr
49,1714,4,2,1,10,Apartment,Lucknow,tier2,12,6837000
50,618,3,1,1,25,Independent House,Jalandhar,tier3,8,2707000
51,1822,4,2,1,28,Apartment,Agra,tier3,29,3302000
52,1523,3,1,1,24,Studio,Madurai,tier3,22,3044000
53,1639,2,2,2,19,Villa,Raipur,tier3,20,3570000
54,823,2,1,0,26,Penthouse,Jalandhar,tier3,3,2420000
55,1667,2,1,1,25,Penthouse,Warangal,tier3,11,3735000
56,977,3,2,1,3,Independent House,Ludhiana,tier3,24,1974000
57,1544,3,2,2,0,Villa,Madurai,tier3,5,4292000
58,807,4,2,1,13,Independent House,Bareilly,tier3,1,3786000
59,1664,3,1,2,24,Penthouse,Meerut,tier3,21,4141000
60,1822,2,1,1,4,Penthouse,Vasai-Virar,tier3,3,4636000
61,1854,1,1,2,26,Studio,Hubli-Dharwad,tier3,27,2682000
62,1873,2,1,2,14,Penthouse,Agra,tier3,22,4001000
63,821,4,1,2,2,Villa,Vasai-Virar,tier3,32,2296000
64,956,2,1,1,7,Penthouse,Salem,tier3,9,2669000
65,1292,2,1,1,6,Penthouse,Meerut,tier3,3,3709000
66,685,2,2,1,2,Villa,Mysore,tier3,21,1973000
67,2578,4,1,1,0,Villa,Lucknow,tier2,0,12471000
68,799,3,1,1,17,Apartment,Meerut,tier3,6,2750000
69,1032,3,2,1,1,Penthouse,Bangalore,tier1,18,7702000
70,1887,3,1,2,22,Villa,Bhubaneswar,tier3,17,3773000
71,1612,3,2,1,18,Independent House,Bareilly,tier3,4,5330000
72,573,3,2,1,5,Villa,Lucknow,tier2,17,2710000
73,1892,2,1,1,17,Villa,Hubli-Dharwad,tier3,29,2871000
74,1978,1,1,1,24,Independent House,Indore,tier2,16,6988000
75,1677,2,1,2,10,Apartment,Nagpur,tier2,3,8801000
76,1408,1,1,1,5,Villa,Hubli-Dharwad,tier3,17,2472000
77,1498,3,1,1,3,Apartment,Meerut,tier3,13,3731000
78,1388,2,2,1,9,Penthouse,Faridabad,tier3,24,2604000
79,1740,2,2,0,12,Penthouse,Visakhapatnam,tier2,1,8535000
80,2057,2,2,2,13,Studio,Varanasi,tier3,14,4834000
81,200,1,1,1,5,Apartment,Bangalore,tier1,12,1718000
82,761,2,1,0,2,Villa,Salem,tier3,3,2878000
83,2352,3,1,1,17,Apartment,Meerut,tier3,9,5007000
84,575,4,3,1,20,Apartment,Lucknow,tier2,19,3163000
85,483,4,2,0,20,Independent House,Faridabad,tier3,5,3182000
86,956,3,2,1,3,Apartment,Jalandhar,tier3,13,3070000
87,2078,2,2,1,19,Independent House,Nagpur,tier2,9,7867000
88,1032,3,2,1,7,Villa,Bhopal,tier2,17,4232000
89,1468,3,2,1,12,Penthouse,Madurai,tier3,0,5287000
90,2198,2,2,1,4,Apartment,Lucknow,tier2,18,8230000
91,1834,1,1,0,25,Villa,Kota,tier3,8,3712000
92,1547,3,2,1,5,Villa,Ahmedabad,tier1,1,13569000
93,1978,2,2,2,16,Independent House,Agra,tier3,22,4353000
94,1604,4,2,1,30,Villa,Srinagar,tier3,21,3782000
95,867,2,2,1,10,Penthouse,Srinagar,tier3,18,2039000
96,2107,4,1,1,3,Independent House,Patna,tier2,9,7977000
97,1515,3,1,1,0,Studio,Tiruchirappalli,tier3,23,3150000
98,387,4,1,1,0,Independent House,Kolkata,tier1,1,4617000
99,1782,2,2,1,18,Studio,Jalandhar,tier3,6,4796000
100,2314,2,2,1,0,Independent House,Pimpri-Chinchwad,tier2,7,9095000
101,1166,2,2,2,11,Apartment,Delhi,tier1,5,9305000
102,1252,4,2,2,19,Independent House,Chennai,tier1,16,9845000
103,1362,2,2,0,29,Penthouse,Pimpri-Chinchwad,tier2,17,4572000
104,1494,1,1,1,0,Apartment,Nashik,tier3,15,3359000
105,631,2,1,1,29,Penthouse,Chandigarh,tier3,24,1473000
106,847,2,2,0,27,Studio,Warangal,tier3,19,1882000
107,1067,3,2,1,11,Independent House,Surat,tier2,22,3530000
108,676,1,1,1,0,Villa,Thane,tier2,35,1438000
109,2385,3,1,2,0,Apartment,Moradabad,tier3,3,7554000
110,409,4,2,1,13,Independent House,Vadodara,tier2,9,3023000
111,756,4,2,0,16,Villa,Patna,tier2,4,4713000
112,556,2,2,1,11,Apartment,Indore,tier2,1,3579000
113,1410,1,1,0,28,Studio,Srinagar,tier3,23,2844000
114,1077,3,1,0,29,Independent House,Ahmedabad,tier1,13,7068000
115,1201,2,1,1,9,Studio,Guwahati,tier3,13,3019000
116,1609,2,2,2,24,Penthouse,Nagpur,tier2,21,5682000
117,1659,2,2,1,28,Villa,Aligarh,tier3,1,5404000
118,976,2,1,2,30,Villa,Kolkata,tier1,7,7174000
119,1379,2,1,1,29,Penthouse,Mumbai,tier1,17,8309000
120,1568,3,2,1,19,Apartment,Lucknow,tier2,11,7362000
121,200,3,1,2,1,Independent House,Jodhpur,tier3,10,1663000
122,1425,3,1,1,0,Villa,Madurai,tier3,10,4375000
123,470,1,1,1,8,Villa,Jaipur,tier2,14,2009000
124,1900,3,1,1,0,Independent House,Moradabad,tier3,12,5393000
125,1870,3,1,2,28,Independent House,Bareilly,tier3,20,5031000
126,600,2,1,1,16,Independent House,Lucknow,tier2,10,2792000
127,1624,2,2,1,23,Studio,Ahmedabad,tier1,6,13953000
128,938,3,2,2,14,Independent House,Ghaziabad,tier3,26,2370000
129,1871,3,2,1,28,Independent House,Surat,tier2,3,7839000
130,1422,3,1,0,4,Independent House,Vadodara,tier2,1,7864000
131,1890,2,1,1,28,Penthouse,Kolkata,tier1,16,12700000
132,2032,4,3,1,0,Apartment,Raipur,tier3,11,6115000
133,1656,3,1,1,17,Penthouse,Kanpur,tier2,14,6586000
134,1393,3,1,2,8,Studio,Bareilly,tier3,10,4561000
135,1113,5,2,1,3,Studio,Patna,tier2,8,7281000
136,1765,4,1,1,28,Independent House,Vasai-Virar,tier3,0,6462000
137,733,3,1,2,21,Villa,Kota,tier3,35,1504000
138,1635,4,2,1,7,Villa,Nashik,tier3,37,2839000
139,1337,3,2,1,30,Studio,Mysore,tier3,31,2422000
140,2247,3,2,1,0,Studio,Pune,tier1,32,6961000
141,1791,4,2,1,0,Apartment,Pimpri-Chinchwad,tier2,19,6328000
142,1284,2,2,2,3,Villa,Vasai-Virar,tier3,14,3095000
143,564,4,2,1,14,Independent House,Ludhiana,tier3,12,2939000
144,964,3,2,1,30,Studio,Mysore,tier3,11,3514000
145,899,4,2,1,23,Studio,Thane,tier2,5,5289000
146,2080,3,1,1,15,Independent House,Nagpur,tier2,19,5971000
147,1176,2,2,1,27,Apartment,Pimpri-Chinchwad,tier2,20,4680000
148,752,2,1,1,16,Villa,Pimpri-Chinchwad,tier2,5,3348000
149,1411,2,1,1,20,Studio,Visakhapatnam,tier2,31,4018000
150,837,1,1,1,27,Penthouse,Vasai-Virar,tier3,5,2848000
151,890,2,2,1,6,Penthouse,Pune,tier1,14,6670000
152,766,2,2,2,5,Apartment,Hubli-Dharwad,tier3,10,2458000
153,2808,4,1,2,8,Independent House,Dhanbad,tier3,7,8126000
154,1700,2,2,1,0,Apartment,Meerut,tier3,11,4508000
155,1201,2,2,2,24,Studio,Kanpur,tier2,14,4624000
156,1622,3,1,2,9,Independent House,Visakhapatnam,tier2,20,5581000
157,871,2,2,2,0,Villa,Aligarh,tier3,7,3242000
158,524,2,2,1,4,Apartment,Bangalore,tier1,18,3383000
159,1313,3,2,1,17,Studio,Tiruchirappalli,tier3,6,5148000
160,519,4,2,2,16,Villa,Jodhpur,tier3,12,2567000
161,1431,2,1,1,15,Villa,Salem,tier3,19,2784000
162,535,3,1,2,9,Villa,Madurai,tier3,8,2351000
163,1502,3,2,1,14,Apartment,Chennai,tier1,19,9019000
164,883,3,1,0,28,Apartment,Delhi,tier1,0,8811000
165,1258,2,1,1,4,Villa,Guwahati,tier3,12,2883000
166,652,3,2,2,5,Apartment,Lucknow,tier2,12,3052000
167,2059,3,2,2,30,Studio,Thiruvananthapuram,tier3,12,5580000
168,802,4,1,2,12,Apartment,Meerut,tier3,3,4104000
169,1356,2,2,1,19,Villa,Jalandhar,tier3,22,2457000
170,1126,3,1,1,10,Studio,Madurai,tier3,4,3298000
171,200,2,2,1,27,Apartment,Kota,tier3,20,1423000
172,1591,2,2,1,7,Studio,Bhopal,tier2,15,5859000
173,1147,2,1,1,8,Studio,Bangalore,tier1,10,8021000
174,1439,3,1,0,28,Apartment,Aligarh,tier3,5,4101000
175,1907,3,1,2,17,Apartment,Visakhapatnam,tier2,22,5958000
176,2181,2,1,1,20,Studio,Patna,tier2,16,8195000
177,683,2,1,1,0,Apartment,Aligarh,tier3,0,2788000
178,827,3,2,1,15,Studio,Patna,tier2,17,3273000
179,2145,4,3,1,11,Studio,Hyderabad,tier1,0,20155000
180,838,2,2,1,29,Villa,Nagpur,tier2,2,4664000
181,501,2,2,1,0,Independent House,Vasai-Virar,tier3,22,1693000
182,200,2,2,0,1,Studio,Madurai,tier3,2,1546000
183,918,4,3,1,0,Apartment,Hyderabad,tier1,20,6323000
184,942,3,1,2,1,Villa,Meerut,tier3,19,2799000
185,594,3,2,2,7,Studio,Madurai,tier3,7,2735000
186,934,3,2,2,2,Studio,Salem,tier3,2,4456000
187,858,2,1,1,26,Apartment,Rajkot,tier3,1,2663000
188,1399,4,2,1,5,Studio,Nagpur,tier2,16,5932000
189,1260,2,2,1,30,Independent House,Meerut,tier3,35,1436000
190,1041,2,2,2,25,Villa,Vasai-Virar,tier3,7,3245000
191,566,3,2,0,8,Apartment,Nashik,tier3,17,1891000
192,1679,2,1,1,6,Independent House,Mumbai,tier1,1,14364000
193,1144,2,1,2,4,Studio,Srinagar,tier3,11,3508000
194,1692,1,1,1,11,Villa,Thiruvananthapuram,tier3,22,3195000
195,714,3,1,1,6,Studio,Nashik,tier3,3,2738000
196,1049,3,3,2,11,Penthouse,Chennai,tier1,12,7104000
197,1999,3,2,1,20,Independent House,Faridabad,tier3,9,4505000
198,721,2,1,1,26,Studio,Warangal,tier3,1,3113000
199,202,2,2,1,18,Studio,Jaipur,tier2,23,1322000
200,1191,3,2,1,14,Villa,Dhanbad,tier3,0,4195000
201,1555,5,1,1,5,Penthouse,Faridabad,tier3,8,5556000
202,1004,4,2,1,15,Villa,Thiruvananthapuram,tier3,6,3459000
203,1767,3,1,1,20,Apartment,Nashik,tier3,9,4400000
204,600,3,2,1,25,Apartment,Moradabad,tier3,4,2692000
205,1300,3,1,1,13,Villa,Ludhiana,tier3,6,4079000
206,200,5,1,1,2,Penthouse,Surat,tier2,30,1459000
207,1141,2,1,1,1,Studio,Bhubaneswar,tier3,12,3073000
208,2029,2,2,2,25,Apartment,Dhanbad,tier3,24,3668000
209,2076,3,3,1,30,Studio,Faridabad,tier3,33,3241000
210,621,3,2,2,15,Independent House,Ahmedabad,tier1,25,3569000
211,1026,3,1,1,27,Penthouse,Mumbai,tier1,2,7677000
212,1439,4,2,1,5,Independent House,Meerut,tier3,21,3188000
213,875,2,2,1,28,Villa,Ghaziabad,tier3,7,3174000
214,1229,2,2,1,18,Penthouse,Bangalore,tier1,11,9672000
215,775,3,2,1,25,Penthouse,Hyderabad,tier1,11,7471000
216,1975,3,2,0,26,Studio,Srinagar,tier3,17,3992000
217,200,2,2,1,19,Studio,Surat,tier2,4,2101000
218,1194,2,1,1,24,Penthouse,Chennai,tier1,22,5654000
219,985,2,1,2,19,Independent House,Meerut,tier3,9,2617000
220,895,3,1,1,24,Independent House,Madurai,tier3,26,2021000
221,1204,3,1,1,1,Independent House,Thane,tier2,4,5372000
222,1663,4,2,1,17,Independent House,Mysore,tier3,11,4123000
223,1551,3,1,1,14,Studio,Mumbai,tier1,32,7098000
224,1535,3,1,1,4,Independent House,Vadodara,tier2,10,6819000
225,705,4,2,1,30,Penthouse,Surat,tier2,18,3227000
226,2501,3,2,1,14,Penthouse,Salem,tier3,12,5756000
227,200,3,1,1,24,Studio,Chennai,tier1,12,2192000
228,629,4,1,0,0,Studio,Kota,tier3,32,1298000
229,1385,3,2,2,0,Penthouse,Pune,tier1,5,12279000
230,1336,3,3,2,23,Studio,Vasai-Virar,tier3,17,3973000
231,596,2,2,1,17,Apartment,Agra,tier3,13,2376000
232,1570,2,1,1,22,Villa,Visakhapatnam,tier2,22,5511000
233,1942,2,1,0,8,Penthouse,Bangalore,tier1,12,10918000
234,766,3,1,1,16,Studio,Moradabad,tier3,14,2442000
235,1993,3,2,0,0,Studio,Chandigarh,tier3,0,5624000
236,1560,2,1,1,1,Studio,Pune,tier1,8,10100000
237,2119,2,1,1,19,Independent House,Chandigarh,tier3,18,4654000
238,1200,2,2,2,22,Studio,Jodhpur,tier3,10,3351000
239,1372,2,2,1,0,Penthouse,Raipur,tier3,21,2709000
240,1902,2,1,1,0,Villa,Chandigarh,tier3,5,5519000
241,846,1,1,1,2,Independent House,Aligarh,tier3,13,2569000
242,796,2,2,2,13,Villa,Visakhapatnam,tier2,8,3704000
243,1337,2,2,1,0,Villa,Visakhapatnam,tier2,20,4090000
244,1988,5,2,2,22,Studio,Raipur,tier3,13,6575000
245,1854,3,2,1,20,Penthouse,Kanpur,tier2,6,7562000
246,342,2,2,2,25,Independent House,Warangal,tier3,14,1939000
247,832,2,2,2,12,Apartment,Aligarh,tier3,0,3120000
248,1314,2,2,1,18,Penthouse,Hubli-Dharwad,tier3,21,2883000
249,1247,2,2,2,25,Independent House,Nashik,tier3,9,4054000
250,2656,3,1,1,3,Studio,Ahmedabad,tier1,1,22565000
251,1414,5,3,1,11,Apartment,Rajkot,tier3,5,5966000
252,200,2,1,2,0,Studio,Vasai-Virar,tier3,11,1707000
253,1090,2,2,0,19,Villa,Raipur,tier3,8,3182000
254,1566,2,1,2,27,Independent House,Vadodara,tier2,8,7918000
255,790,3,1,1,24,Penthouse,Meerut,tier3,33,1534000
256,200,2,2,2,7,Villa,Kanpur,tier2,13,1639000
257,1551,3,1,1,22,Villa,Pune,tier1,0,11748000
258,1396,3,2,2,0,Independent House,Guwahati,tier3,15,3123000
259,1446,5,2,1,27,Villa,Hyderabad,tier1,9,12346000
260,1034,3,3,1,18,Studio,Kalyan-Dombivli,tier3,25,2189000
261,1200,3,1,2,16,Penthouse,Thane,tier2,7,5282000
262,1212,2,2,2,16,Apartment,Faridabad,tier3,4,4748000
263,1306,3,2,1,17,Studio,Faridabad,tier3,3,4047000
264,1913,4,2,1,1,Penthouse,Kota,tier3,15,5313000
265,636,4,2,2,19,Penthouse,Chennai,tier1,10,6419000
266,1478,2,1,1,8,Apartment,Solapur,tier3,20,2751000
267,2142,2,2,1,17,Apartment,Meerut,tier3,12,4947000
268,1105,1,1,1,18,Studio,Jaipur,tier2,12,4480000
269,819,2,2,1,8,Penthouse,Delhi,tier1,26,4648000
270,2038,4,2,0,16,Studio,Mumbai,tier1,15,11000000
271,1316,3,2,1,18,Villa,Visakhapatnam,tier2,1,7671000
272,1838,4,2,1,30,Independent House,Pune,tier1,19,11923000
273,1297,2,2,1,23,Studio,Nagpur,tier2,12,5920000
274,1240,1,1,0,28,Studio,Surat,tier2,11,5598000
275,1882,2,1,1,18,Studio,Aligarh,tier3,5,5271000
276,221,2,2,2,18,Villa,Ahmedabad,tier1,32,1471000
277,1688,2,2,1,29,Penthouse,Warangal,tier3,1,6060000
278,756,2,2,1,4,Apartment,Indore,tier2,19,2956000
279,2114,3,1,1,26,Apartment,Madurai,tier3,19,4009000
280,1137,3,3,1,15,Apartment,Faridabad,tier3,10,3775000
281,2006,4,1,1,3,Penthouse,Dhanbad,tier3,6,6417000
282,1953,2,2,1,0,Villa,Pune,tier1,36,5362000
283,360,3,2,2,23,Independent House,Guwahati,tier3,7,2984000
284,1342,2,1,1,5,Penthouse,Thiruvananthapuram,tier3,12,2931000
285,698,3,3,2,0,Apartment,Faridabad,tier3,10,3074000
286,305,3,1,1,10,Studio,Vasai-Virar,tier3,21,1234000
287,1219,4,1,1,9,Villa,Madurai,tier3,1,4721000
288,826,4,2,0,0,Studio,Thane,tier2,13,4726000
289,1203,2,2,1,2,Villa,Patna,tier2,3,6499000
290,1253,1,1,2,30,Apartment,Varanasi,tier3,11,2644000
291,446,3,2,1,0,Apartment,Bhubaneswar,tier3,1,2745000
292,906,1,1,1,7,Studio,Faridabad,tier3,11,2789000
293,1292,2,1,2,12,Penthouse,Delhi,tier1,3,8837000
294,685,3,2,1,12,Penthouse,Bangalore,tier1,14,5709000
295,258,3,2,1,0,Apartment,Faridabad,tier3,14,1999000
296,1584,3,3,0,19,Studio,Pimpri-Chinchwad,tier2,11,6430000
297,717,3,1,1,11,Apartment,Kolkata,tier1,23,4037000
298,768,3,1,1,11,Penthouse,Mumbai,tier1,21,4516000
299,1761,2,2,2,5,Penthouse,Srinagar,tier3,18,4362000
300,1518,4,2,1,16,Villa,Solapur,tier3,20,3601000
301,1205,5,2,1,11,Studio,Chandigarh,tier3,12,5024000
302,794,2,2,2,10,Penthouse,Meerut,tier3,15,2697000
303,1907,4,1,1,29,Independent House,Hyderabad,tier1,18,12056000
304,1398,4,2,0,13,Independent House,Rajkot,tier3,0,4362000
305,1335,2,2,1,11,Penthouse,Delhi,tier1,18,8983000
306,275,2,1,0,18,Independent House,Indore,tier2,13,1334000
307,1133,2,2,1,0,Villa,Bhopal,tier2,19,4925000
308,1511,2,1,2,0,Independent House,Bangalore,tier1,12,8845000
309,1077,3,1,1,23,Studio,Varanasi,tier3,16,3269000
310,1730,3,2,2,14,Studio,Pune,tier1,14,11339000
311,1025,4,1,1,23,Apartment,Hyderabad,tier1,21,5520000
312,1511,3,1,1,7,Independent House,Madurai,tier3,15,3502000
313,1100,3,1,1,9,Penthouse,Srinagar,tier3,21,2469000
314,1792,4,1,1,5,Independent House,Chennai,tier1,3,15087000
315,428,1,1,0,16,Studio,Hubli-Dharwad,tier3,2,1267000
316,1216,4,2,1,13,Studio,Jaipur,tier2,39,2519000
317,546,2,1,1,15,Studio,Bhubaneswar,tier3,4,2203000
318,945,4,1,2,16,Villa,Jaipur,tier2,4,6020000
319,1383,4,3,1,11,Independent House,Warangal,tier3,17,3981000
320,1093,3,2,2,0,Penthouse,Jaipur,tier2,1,5698000
321,772,4,2,2,23,Villa,Salem,tier3,2,3276000
322,563,2,2,1,12,Independent House,Indore,tier2,1,3152000
323,324,2,2,1,3,Independent House,Ghaziabad,tier3,22,1360000
324,1665,3,1,1,25,Apartment,Guwahati,tier3,20,3906000
325,1254,2,1,2,2,Apartment,Mumbai,tier1,21,6487000
326,1177,4,1,1,24,Penthouse,Kolkata,tier1,3,12114000
327,1704,2,1,0,14,Apartment,Chennai,tier1,19,10786000
328,974,3,1,2,0,Penthouse,Kolkata,tier1,12,7087000
329,1471,3,2,1,20,Penthouse,Pune,tier1,4,11773000
330,857,5,2,1,10,Studio,Faridabad,tier3,7,4208000
331,901,4,3,0,6,Villa,Ghaziabad,tier3,8,3877000
332,1556,2,2,0,0,Apartment,Ghaziabad,tier3,0,4344000
333,1200,2,2,2,24,Independent House,Thiruvananthapuram,tier3,17,3127000
334,1487,2,1,1,30,Studio,Patna,tier2,31,3230000
335,2170,3,2,1,14,Studio,Varanasi,tier3,24,4006000
336,1130,4,1,1,13,Studio,Tiruchirappalli,tier3,8,3342000
337,1475,2,1,1,4,Villa,Kalyan-Dombivli,tier3,21,2790000
338,1213,2,2,2,6,Studio,Visakhapatnam,tier2,20,5424000
339,1799,2,2,2,5,Studio,Pimpri-Chinchwad,tier2,16,6777000
340,856,5,2,0,8,Penthouse,Rajkot,tier3,14,2969000
341,553,2,1,1,25,Apartment,Visakhapatnam,tier2,21,2113000
342,2062,3,1,1,19,Independent House,Bareilly,tier3,8,4873000
343,1200,4,2,2,0,Apartment,Guwahati,tier3,22,3421000
344,200,1,1,2,30,Studio,Faridabad,tier3,20,1095000
345,768,3,1,1,5,Apartment,Rajkot,tier3,13,2876000
346,1438,2,1,2,1,Penthouse,Nagpur,tier2,9,7056000
347,942,4,1,1,24,Independent House,Aligarh,tier3,24,2261000
348,493,3,1,2,28,Independent House,Thiruvananthapuram,tier3,17,1945000
349,1145,4,2,2,0,Studio,Jodhpur,tier3,15,3571000
350,2850,2,1,2,0,Penthouse,Agra,tier3,3,7878000
351,2429,4,1,1,26,Studio,Jaipur,tier2,4,12794000
352,602,2,2,1,11,Independent House,Kanpur,tier2,19,2543000
353,897,4,2,1,12,Apartment,Warangal,tier3,13,3609000
354,2069,1,1,2,24,Penthouse,Bhubaneswar,tier3,1,5761000
355,1942,2,1,2,3,Independent House,Ludhiana,tier3,6,5762000
356,1620,2,2,1,24,Independent House,Aligarh,tier3,7,3999000
357,268,4,2,2,5,Villa,Agra,tier3,1,3410000
358,425,4,2,1,29,Studio,Rajkot,tier3,11,2369000
359,1224,3,1,1,0,Apartment,Jalandhar,tier3,22,2945000
360,1406,3,1,1,3,Apartment,Dhanbad,tier3,8,3708000
361,1271,3,1,2,19,Penthouse,Raipur,tier3,30,2454000
362,2464,2,2,2,6,Apartment,Vasai-Virar,tier3,0,8112000
363,928,3,2,1,4,Apartment,Ahmedabad,tier1,19,5798000
364,200,3,2,1,2,Villa,Surat,tier2,12,2117000
365,2355,2,2,1,6,Independent House,Patna,tier2,1,10199000
366,486,2,2,1,18,Villa,Jaipur,tier2,16,1997000
367,1331,2,2,1,14,Studio,Lucknow,tier2,1,7712000
368,1728,2,1,2,27,Apartment,Varanasi,tier3,13,4801000
369,1023,2,2,2,0,Independent House,Srinagar,tier3,14,2979000
370,928,1,1,2,11,Penthouse,Ahmedabad,tier1,19,4858000
371,2340,2,2,1,3,Penthouse,Delhi,tier1,3,17367000
372,1136,2,2,2,6,Independent House,Jaipur,tier2,3,5254000
373,1550,3,3,2,20,Villa,Hyderabad,tier1,2,14282000
374,1549,2,1,1,17,Apartment,Vadodara,tier2,9,6921000
375,964,1,1,2,11,Apartment,Guwahati,tier3,12,2977000
376,1170,2,1,1,0,Villa,Ludhiana,tier3,19,2575000
377,1559,2,1,1,0,Penthouse,Thane,tier2,2,7925000
378,964,5,2,2,20,Penthouse,Agra,tier3,21,3388000
379,708,3,3,1,16,Penthouse,Chennai,tier1,10,4973000
380,1523,3,2,0,8,Studio,Kanpur,tier2,7,6647000
381,1351,1,1,1,15,Studio,Bareilly,tier3,4,4335000
382,1263,3,2,1,24,Independent House,Aligarh,tier3,5,4235000
383,802,2,2,1,0,Apartment,Guwahati,tier3,13,2035000
384,1371,2,2,1,27,Apartment,Ludhiana,tier3,22,3181000
385,448,1,1,2,12,Apartment,Pune,tier1,19,2524000
386,961,3,1,1,8,Villa,Indore,tier2,18,4355000
387,740,3,2,1,15,Apartment,Chandigarh,tier3,16,2034000
388,750,2,1,1,29,Apartment,Mumbai,tier1,8,5672000
389,1216,3,3,1,1,Villa,Chennai,tier1,10,8311000
390,1696,3,2,1,8,Apartment,Jodhpur,tier3,3,4709000
391,2750,4,2,1,19,Villa,Solapur,tier3,5,8881000
392,1597,3,3,1,27,Independent House,Mumbai,tier1,11,10451000
393,776,2,1,1,0,Penthouse,Indore,tier2,6,4063000
394,1751,3,1,2,5,Villa,Varanasi,tier3,8,4488000
395,2065,2,2,1,5,Penthouse,Guwahati,tier3,24,3578000
396,2098,3,2,1,11,Independent House,Kalyan-Dombivli,tier3,6,5639000
397,1014,4,3,1,0,Independent House,Delhi,tier1,26,5856000
398,1875,3,1,1,27,Apartment,Bareilly,tier3,7,5159000
399,1419,2,2,1,15,Apartment,Lucknow,tier2,6,5959000
400,1972,1,1,1,19,Penthouse,Madurai,tier3,7,5246000
401,376,3,2,1,2,Independent House,Patna,tier2,11,2948000
402,1078,2,1,1,10,Apartment,Kanpur,tier2,5,5338000
403,200,2,2,1,1,Penthouse,Kota,tier3,12,1409000
404,796,1,1,1,27,Studio,Pimpri-Chinchwad,tier2,1,4123000
405,1538,2,2,1,30,Studio,Salem,tier3,19,2899000
406,954,3,1,2,13,Independent House,Meerut,tier3,23,2388000
407,1666,3,1,1,30,Independent House,Patna,tier2,4,8569000
408,796,3,1,1,17,Apartment,Kota,tier3,11,2428000
409,1125,2,2,1,23,Independent House,Meerut,tier3,11,3070000
410,1465,1,1,2,0,Independent House,Vasai-Virar,tier3,6,3835000
411,504,3,1,1,18,Villa,Chennai,tier1,11,4073000
